fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i
965,"2500",Gebäude zur Versorgung,,,"1",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"02143",Ilsenburger Straße,,"20","9",AX_Gebaeude,DEBE00YY2ZI00031,,,,,,,,,,,,,,,
966,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Y0T,,,,,,,,,,,,,,,
967,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YLP,872,UUID_d4fc4885-e665-4c1f-a128-862e6c82b0b7,,,,,2024/02/05 04:16:18.198,,,,2024/02/05 04:16:18.198,citydb_user,,,850
968,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Ye5,542,UUID_72796d45-8704-4c30-83d5-b84b9f81317c,,,,,2024/02/05 04:16:17.726,,,,2024/02/05 04:16:17.726,citydb_user,,,526
969,"2142",Speichergebäude,,,"1",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","16",AX_Gebaeude,DEBE04YY50000Ihg,,,,,,,,,,,,,,,
970,"2462",Parkdeck,,,"1",,,,,,,,,,"11000004019690018","4200",Aus Katasterkarten digitalisiert,"01969",Herschelstraße 18,"18",,,AX_Gebaeude,DEBE04YY50000JHW,1927,UUID_0d05c343-b701-487c-81d4-3b56c9631ade,,,,,2024/02/05 04:16:20.298,,,,2024/02/05 04:16:20.298,citydb_user,,,1897
971,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500003Kj,1676,UUID_2a4ff5f9-98d3-48f2-8fab-3716a99e3358,,,,,2024/02/05 04:16:19.930,,,,2024/02/05 04:16:19.930,citydb_user,,,1667
972,,,,,,,,"9999",Sonstiges,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YCG,,,,,,,,,,,,,,,
973,"2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"1",,,,,,,,,,"11000004016320025","4200",Aus Katasterkarten digitalisiert,"01632",Goslarer Ufer,,"25","4",AX_Gebaeude,DEBE04YY500009id,3289,DEB_LOD2_UUID_d9d06654-8eee-4058-8782-d1d9bb14ea25_f398e7f2-522e-4804-b98a-2663b73cea11,,,,,2024/02/05 04:16:22.043,,,,2024/02/05 04:16:22.043,citydb_user,,,3167
974,"2100",Gebäude für Gewerbe und Industrie,,,"2",,,,,,,,,,"11000004009260004","4200",Aus Katasterkarten digitalisiert,"00926",Darwinstraße,,"4","1",AX_Gebaeude,DEBE04YY500008cQ,1116,UUID_66a7b4ca-ee09-4b10-a322-84d2d3ee19d9,,,,,2024/02/05 04:16:18.491,,,,2024/02/05 04:16:18.491,citydb_user,,,1084
